X,Y,g1,g2,g3,g4,r1,r2,r3,r4,r5,r6,a1,a2,a3,a4,f1,f2
260940.9766,4103774.768,0.478507,0.58078,0.973778,0.840457,1.64E-05,0.00025044,0.0187584,1.99E-05,0.00102095,2.02E-05,0.000427684,0.000036653,0.004765,0.993318,0.0134732,0
272190.9766,4143074.768,0.355526,0.653725,0.999999,0.723393,6.58E-09,4.93E-05,8.91E-05,1.23E-07,6.83E-08,7.08E-07,0.852593,0.0115454,0.822866,0.0108335,0.99968,0.688762
242940.9766,4144124.768,0.571126,0.496799,0.858136,0.628849,2.17E-09,0.000199031,0.0195483,6.45E-05,0.266808,1,0.00594022,0.00154957,0.99979,0.00643671,0.0011218,0
242940.9766,4106774.768,0.312631,0.543847,0.996779,0.868815,5.51E-08,0.101355,0.000655392,0.998812,4.79E-06,0.0299963,3.57E-07,0.0239641,0.000254893,0.00659141,0.187024,0.385033
254490.9766,4116974.768,0.275454,0.518264,0.999864,0.814198,1.93E-07,0.000128634,0.000826942,1,1.87E-05,0.983052,0.00122063,0.00740395,0.0232488,0.000632052,0.000563621,0
265740.9766,4117724.768,0.623618,0.451422,1.00015,0.722165,5.14E-07,0.000113479,5.78E-05,0.000922172,0.603523,0.00092836,0.0187584,0.00215737,0.00336806,0.00491844,0.92785,0.624809
268290.9766,4131974.768,0.567738,0.583503,0.999964,0.597423,3.29E-08,3.07E-05,0.000618842,9.40E-07,1.12E-06,0.000139278,0.000503919,0.0278055,0.00149529,0.993318,0.244588,0
269340.9766,4133624.768,0.576813,0.561973,0.999975,0.49581,2.66E-08,3.92E-05,9.19E-05,5.49E-07,6.03E-07,0.000033913,0.00092836,0.450913,0.0278055,0.450913,0.00549392,0
270690.9766,4103624.768,0.552765,0.525493,0.985753,0.682421,0.00246227,0.00176697,6.82E-05,0.000316914,2.86E-06,3.30E-06,0.99979,0.000118952,0.983052,0.049311,0.00240846,0
274440.9766,4122224.768,0.631428,0.544981,2.38153,0.739099,1.42E-07,0.00234891,0.000112282,1.77E-06,5.22E-06,3.73E-05,1,1,0.0158774,0.993318,0.0245741,0
276540.9766,4143824.768,0.651678,0.565002,0.999847,0.492477,4.98E-09,0.000104685,0.000997506,5.18E-08,3.72E-08,3.29E-07,1,0.99979,0.0334507,0.54568,0.0214453,0
269640.9766,4146374.768,0.659566,0.644563,0.999912,0.674925,5.09E-09,0.000448485,0.0250205,1.58E-07,1.00E-07,8.60E-07,0.993318,0.54568,0.00343923,0.000143994,0.796055,0.745839
267690.9766,4127924.768,0.495331,0.556136,-8.74E-09,0.839692,6.20E-08,0.000318632,0.993318,3.93E-06,5.81E-06,0.0583403,0.00608075,0.0096624,0.00320337,0.0165251,0.996848,0.660917
249540.9766,4142924.768,0.559153,0.526665,0.999591,0.584292,3.20E-09,0.000353287,0.00991392,0.0334507,0.000503919,0.0975886,0.00805124,0.54568,0.000641597,0.739468,0.000566457,0
237390.9766,4148624.768,0.54856,0.437961,0.00898335,0.562341,1.21E-09,0.0007008,0.505554,1.71E-06,2.51E-05,0.775812,0.0975886,0.911139,0.0404871,0.99979,0.000883244,0
240240.9766,4136924.768,0.555992,0.517277,0.999601,0.56367,3.93E-09,0.000106709,1,0.000010654,0.00110615,0.983052,0.000618842,0.000247347,0.121952,0.739468,1.88E-05,0
265890.9766,4127474.768,0.514619,0.577086,0.975165,0.812839,6.05E-08,0.000181507,0.99979,7.26E-06,1.05E-05,0.951399,0.304655,0.41426,0.000496772,0.603523,0.039078,0
242790.9766,4115024.768,0.633162,0.497165,1.00363,0.708131,3.02E-08,0.0718846,0.00106253,0.008339,1.27E-06,0.739468,3.80E-06,0.00397645,5.07E-05,0.00161828,0.00770904,0
257940.9766,4128824.768,0.428741,0.610063,0.999453,0.858814,2.72E-08,0.000176481,0.852593,4.08E-05,2.22E-06,0.505554,0.101355,0.242666,0.0126497,0.101355,0.000269626,0
257640.9766,4116224.768,0.511184,0.526079,0.999655,0.640506,3.14E-07,0.000840124,0.00397645,1,0.000136494,0.379554,0.00320337,0.000201413,0.242666,0.00176697,0.000893934,0
256890.9766,4133624.768,0.362443,0.478655,0.284554,0.812866,1.30E-08,0.0286893,0.0975886,6.25E-06,3.09E-06,1,0.911139,1,0.00432155,0.963341,0.00331507,0
237840.9766,4136924.768,0.56443,0.554622,0.733797,0.759094,3.54E-09,0.000622677,0.0604407,3.60E-06,0.000101464,0.334109,0.00017162,0.00361861,0.644455,0.0604407,2.86E-05,0
272490.9766,4119824.768,0.56168,0.441544,1.06257,0.639762,2.98E-07,0.00503052,3.65E-05,5.63E-06,2.42E-05,6.54E-05,0.993318,0.379554,0.000196683,0.983052,0.0171498,0
277890.9766,4142474.768,0.672738,0.454559,0.99828,0.243877,5.36E-09,0.000272843,0.00024608,4.41E-08,4.16E-08,2.94E-07,0.450913,0.0334507,0.00276412,0.00519428,0.00840782,0
267690.9766,4139474.768,0.665786,0.563887,0.999802,0.475823,1.08E-08,0.000011863,2.31E-05,3.82E-07,2.15E-07,5.03E-06,0.00112485,8.01E-05,0.0165251,0.00108034,0.000252321,0
274590.9766,4137224.768,0.467814,0.447076,1.00696,0.776088,1.20E-08,0.0583403,0.000981315,1.30E-07,1.48E-07,2.01E-06,1,0.822866,0.99979,0.822866,0.99968,0.679927
240240.9766,4139174.768,0.573309,0.581005,0.996202,0.747208,3.14E-09,4.01E-05,0.0454091,1.73E-05,0.00419005,1,0.0108335,0.000641597,0.121952,0.00698358,1.33E-05,0
249690.9766,4137974.768,0.573309,0.581005,0.996202,0.747208,5.29E-09,0.822866,0.0309627,0.00503052,0.00200624,1,1,0.99979,0.00013292,1,2.94E-05,0
265740.9766,4126724.768,0.495331,0.556136,-8.74E-09,0.839692,6.82E-08,0.000339497,0.951399,1.01E-05,1.60E-05,1,0.911139,0.993318,0.000567779,0.998812,0.0420976,0
253290.9766,4136924.768,0.514321,0.498964,0.981881,0.675368,7.14E-09,0.00176697,0.0182226,0.000135616,3.95E-05,1,0.963341,0.983052,0.000312814,0.963341,7.54E-05,0
243240.9766,4147424.768,0.631468,0.507633,1.3843,0.671483,1.62E-09,0.0165251,1,2.11E-05,0.0012943,0.11113,0.00270931,0.998812,0.0115454,0.998812,0.039078,0
257040.9766,4102724.768,0.634345,0.650072,0.948655,0.83456,3.09E-06,0.00154957,1,7.01E-06,0.0583403,2.15E-05,1.50E-05,5.39E-05,0.000230208,1,0.000586882,0
246090.9766,4116974.768,0.471467,0.492426,0.000145358,0.767629,4.58E-08,0.00241454,0.00172178,0.822866,2.29E-06,1,2.94E-05,0.00258226,0.00200624,0.00304824,0.000702324,0
268740.9766,4148624.768,0.450662,0.558149,0.999937,0.708485,4.02E-09,0.00698358,0.951399,1.59E-07,1.00E-07,1.56E-06,0.983052,0.153079,0.00224174,0.00145828,0.99999,0.676523
265290.9766,4114874.768,0.512728,0.525252,2.03E-09,0.787437,1.09E-06,0.000503919,0.000705251,0.00622526,0.0438987,0.00876721,1,0.000135,0.0334507,0.000618842,0.753194,0.620879
246390.9766,4146074.768,0.524094,0.558584,0.642198,0.801124,2.06E-09,0.000128634,0.739468,0.000133525,0.0195483,0.00290202,0.963341,0.450913,0.00327039,0.450913,0.6002,0
276540.9766,4151924.768,0.471954,0.518239,0.982123,0.753739,2.21E-09,0.000159778,0.00931956,2.98E-08,2.14E-08,2.54E-07,0.998812,0.266808,0.11113,3.99E-05,0.902823,0.705922
270240.9766,4118174.768,0.533154,0.505253,0.540529,0.706852,5.89E-07,0.000442269,2.31E-05,2.02E-05,0.000201413,6.76E-05,0.99979,0.993318,7.32E-05,0.99979,0.00188495,0
257190.9766,4129724.768,0.39727,0.530955,0.998567,0.794994,2.26E-08,0.000600722,0.54568,2.76E-05,1.60E-06,0.983052,0.242666,0.983052,0.002634,0.644455,0.000295394,0
270090.9766,4131974.768,0.467814,0.447076,1.00696,0.776088,3.31E-08,4.81E-05,0.000316914,7.25E-07,9.01E-07,7.15E-05,0.00143277,0.603523,0.00224174,0.603523,0.0804389,0
249990.9766,4135274.768,0.46521,0.597802,7.35433,0.903804,7.38E-09,0.00343923,1,0.000153717,0.000328866,0.074553,0.822866,0.0814708,0.00234891,0.739468,1.16E-05,0
264540.9766,4139174.768,0.525542,0.49101,0.96604,0.65479,9.58E-09,7.07E-06,5.78E-05,8.85E-07,4.90E-07,2.04E-05,0.00258226,0.000136494,0.41426,0.000281334,0.00041304,0
274290.9766,4134074.768,0.467814,0.447076,1.00696,0.776088,1.87E-08,0.00681785,0.0239641,2.53E-07,3.16E-07,7.26E-06,0.822866,0.0239641,0.11113,0.505554,0.0757475,0
266190.9766,4110824.768,0.581022,0.535856,1.07451,0.788618,5.81E-06,0.13926,0.0038093,0.00040248,0.000146284,0.00040248,0.175138,0.00241454,0.0583403,0.0891221,0.212182,0.10712
260790.9766,4109324.768,0.589402,0.559902,0.00176156,0.769452,4.22E-06,0.0476494,1,0.002634,0.0096624,0.00276412,0.00072723,0.000665362,0.121952,0.822866,0.00190035,0
252390.9766,4108724.768,0.483673,0.468842,-0.00026407,0.728113,3.38E-07,0.000118952,1,0.000486872,0.00491844,0.11113,3.42E-06,0.0201307,0.00179978,0.304655,0.000313279,0
251190.9766,4147424.768,0.569721,0.545031,0.999994,0.327091,2.20E-09,0.000102968,0.175138,5.02E-05,5.24E-05,0.00270931,0.153079,0.963341,0.000371875,0.0814708,0.446346,0.572212
265890.9766,4113524.768,0.512728,0.525252,2.03E-09,0.787437,1.87E-06,0.00169067,0.000965438,0.000943507,0.00336806,0.00131687,0.911139,0.000160533,0.993318,0.000783767,0.99999,0.437179
268290.9766,4137524.768,0.355526,0.653725,0.999999,0.723393,1.46E-08,2.88E-05,2.41E-05,2.74E-07,0.000000244,1.07E-05,0.00491844,0.000312814,0.0195483,0.000506916,0.000192238,0
265290.9766,4116524.768,0.512728,0.525252,2.03E-09,0.787437,6.59E-07,0.000107367,0.000165018,0.00369618,0.450913,0.0038918,0.192698,0.000690191,0.00161828,0.00173487,0.723953,0.608081
248040.9766,4126274.768,0.464503,0.577554,0.0129312,0.870272,2.16E-08,0.000032091,1,0.000174448,2.89E-06,0.000400208,0.000622677,6.86E-05,0.00491844,0.000958952,0.000100689,0
243690.9766,4119524.768,0.524644,0.569141,-0.158578,0.848655,2.63E-08,0.000222406,0.000304803,0.014041,7.05E-07,1,1.37E-05,0.000153717,0.000166129,0.41426,0.0401405,0
244440.9766,4113074.768,0.611053,0.535895,1.00328,0.796572,4.54E-08,0.242666,0.13926,0.126767,3.12E-06,0.998812,3.14E-06,0.0438987,0.000376922,0.000164238,0.000266381,0
249540.9766,4117574.768,0.449108,0.594166,0.999831,0.804911,8.14E-08,0.000117685,0.000421812,0.852593,3.00E-06,1,0.000142401,0.0814708,0.304655,0.000178542,0.000043439,0
257340.9766,4148474.768,0.52207,0.4305,0.271635,0.563534,2.51E-09,0.000243052,0.0891221,4.96E-06,2.07E-06,0.00193235,0.852593,0.644455,8.70E-05,0.99979,0.000385578,0
260040.9766,4142924.768,0.709872,0.505425,0.999933,0.168037,5.04E-09,0.000400208,0.00681785,4.19E-06,1.30E-06,0.000135616,0.0299963,0.644455,0.822866,0.644455,0.00085729,0
257790.9766,4145624.768,0.52207,0.4305,0.271635,0.563534,3.42E-09,0.00122063,0.99979,6.69E-06,2.66E-06,9.00E-05,0.911139,0.175138,0.000965438,0.0278055,0.00341841,0
271740.9766,4123724.768,0.629841,0.486841,2.4744,0.62077,1.32E-07,0.304655,0.00176697,3.35E-06,1.48E-05,0.000665362,0.993318,0.983052,0.0182226,0.54568,0.723953,0.483205
260490.9766,4131824.768,0.525542,0.49101,0.96604,0.65479,2.05E-08,0.000115921,0.993318,4.85E-06,1.16E-06,0.775812,0.220596,0.983052,0.000754864,0.775812,0.283146,0
